pdf_name,label_key,year,type,forecast_year,horizon,pred_value,realized_value,error
spa_2021_november_vetur_haust,fjarfesting i ibudarhusnaedi,2021,forecast,2021,0,-8.4,-5.2,-3.2
spa_2021_november_vetur_haust,fjarfesting i ibudarhusnaedi,2022,extrapolation,2021,1,4.9,-6.3,11.2
spa_2021_november_vetur_haust,fjarfesting i ibudarhusnaedi,2023,extrapolation,2021,2,8.7,-2.3,11.0
spa_2021_november_vetur_haust,fjarfesting i ibudarhusnaedi,2024,extrapolation,2021,3,3.5,18.9,-15.399999999999999
spa_2021_november_vetur_haust,fjarfesting hins opinbera,2021,forecast,2021,0,19.8,18.7,1.1000000000000014
spa_2021_november_vetur_haust,fjarfesting hins opinbera,2022,extrapolation,2021,1,-1.4,-0.9,-0.4999999999999999
spa_2021_november_vetur_haust,fjarfesting hins opinbera,2023,extrapolation,2021,2,-1.0,-1.2,0.19999999999999996
spa_2021_november_vetur_haust,fjarfesting hins opinbera,2024,extrapolation,2021,3,-6.8,-2.2,-4.6
spa_2021_november_vetur_haust,thjodarutgjold alls,2021,forecast,2021,0,4.8,7.1,-2.3
spa_2021_november_vetur_haust,thjodarutgjold alls,2022,extrapolation,2021,1,2.3,6.4,-4.1000000000000005
spa_2021_november_vetur_haust,thjodarutgjold alls,2023,extrapolation,2021,2,2.9,1.6,1.2999999999999998
spa_2021_november_vetur_haust,thjodarutgjold alls,2024,extrapolation,2021,3,1.9,1.8,0.09999999999999987
spa_2021_november_vetur_haust,utflutningur voru og thjonustu,2021,forecast,2021,0,14.9,12.7,2.200000000000001
spa_2021_november_vetur_haust,utflutningur voru og thjonustu,2022,extrapolation,2021,1,18.9,20.6,-1.7000000000000028
spa_2021_november_vetur_haust,utflutningur voru og thjonustu,2023,extrapolation,2021,2,6.0,6.3,-0.2999999999999998
spa_2021_november_vetur_haust,utflutningur voru og thjonustu,2024,extrapolation,2021,3,4.6,-2.3,6.8999999999999995
spa_2021_november_vetur_haust,innflutningur voru og thjonustu,2021,forecast,2021,0,17.4,20.3,-2.900000000000002
spa_2021_november_vetur_haust,innflutningur voru og thjonustu,2022,extrapolation,2021,1,10.9,19.7,-8.799999999999999
spa_2021_november_vetur_haust,innflutningur voru og thjonustu,2023,extrapolation,2021,2,6.5,-1.1,7.6
spa_2021_november_vetur_haust,innflutningur voru og thjonustu,2024,extrapolation,2021,3,4.0,3.3,0.7000000000000002
spa_2021_november_vetur_haust,visitala neysluverds,2021,forecast,2021,0,3.9,4.4,-0.5000000000000004
